DeathRaceRaceDesc,DeathCountyCountyName,DeathYearYear,Deaths,Population,SORT
White,Adams,2010,0,28161,0
Black,Adams,2010,0,182,2
American Indian or Alaskan Native,Adams,2010,0,145,4
Asian or Pacific Islander,Adams,2010,0,42,6
Other,Adams,2010,0,0,8
Unknown,Adams,2010,0,0,10
White,Adams,2011,0,28051,14
Black,Adams,2011,0,202,16
American Indian or Alaskan Native,Adams,2011,0,146,18
Asian or Pacific Islander,Adams,2011,0,55,20
Other,Adams,2011,0,0,22
Unknown,Adams,2011,0,0,24
White,Adams,2012,0,27871,28
Black,Adams,2012,0,202,30
American Indian or Alaskan Native,Adams,2012,0,158,32
Asian or Pacific Islander,Adams,2012,0,57,34
Other,Adams,2012,0,0,36
Unknown,Adams,2012,0,0,38
White,Adams,2013,1,27656,42
Black,Adams,2013,0,215,44
American Indian or Alaskan Native,Adams,2013,0,149,46
Asian or Pacific Islander,Adams,2013,0,65,48
Other,Adams,2013,0,0,50
Unknown,Adams,2013,0,0,52
White,Adams,2014,0,27597,56
Black,Adams,2014,0,222,58
American Indian or Alaskan Native,Adams,2014,0,164,60
Asian or Pacific Islander,Adams,2014,0,77,62
Other,Adams,2014,0,0,64
Unknown,Adams,2014,0,0,66
White,Adams,2015,0,27444,70
Black,Adams,2015,0,228,72
American Indian or Alaskan Native,Adams,2015,0,162,74
Asian or Pacific Islander,Adams,2015,0,85,76
Other,Adams,2015,0,0,78
Unknown,Adams,2015,0,0,80
White,Adams,2016,0,27325,84
Black,Adams,2016,0,233,86
American Indian or Alaskan Native,Adams,2016,0,171,88
Asian or Pacific Islander,Adams,2016,0,88,90
Other,Adams,2016,0,0,92
Unknown,Adams,2016,0,0,94
White,Adams,2017,0,27243,98
Black,Adams,2017,0,239,100
American Indian or Alaskan Native,Adams,2017,0,173,102
Asian or Pacific Islander,Adams,2017,0,92,104
Other,Adams,2017,0,0,106
Unknown,Adams,2017,0,0,108
White,Adams,2018,1,27158,112
Black,Adams,2018,0,248,114
American Indian or Alaskan Native,Adams,2018,0,180,116
Asian or Pacific Islander,Adams,2018,0,99,118
Other,Adams,2018,0,0,120
Unknown,Adams,2018,0,0,122
