DeathRaceRaceDesc,DeathCountyCountyName,DeathYearYear,Deaths,Population,SORT
White,Adams,2007,0,28201,0
Black,Adams,2007,0,132,2
American Indian or Alaskan Native,Adams,2007,0,167,4
Asian or Pacific Islander,Adams,2007,0,38,6
Other,Adams,2007,0,0,8
Unknown,Adams,2007,0,0,10
White,Adams,2008,0,28361,14
Black,Adams,2008,0,134,16
American Indian or Alaskan Native,Adams,2008,0,153,18
Asian or Pacific Islander,Adams,2008,0,38,20
Other,Adams,2008,0,0,22
Unknown,Adams,2008,0,0,24
White,Adams,2009,0,28179,28
Black,Adams,2009,0,134,30
American Indian or Alaskan Native,Adams,2009,0,149,32
Asian or Pacific Islander,Adams,2009,0,38,34
Other,Adams,2009,0,0,36
Unknown,Adams,2009,0,0,38
White,Adams,2010,0,28161,42
Black,Adams,2010,0,182,44
American Indian or Alaskan Native,Adams,2010,0,145,46
Asian or Pacific Islander,Adams,2010,0,42,48
Other,Adams,2010,0,0,50
Unknown,Adams,2010,0,0,52
White,Adams,2011,0,28051,56
Black,Adams,2011,0,202,58
American Indian or Alaskan Native,Adams,2011,0,146,60
Asian or Pacific Islander,Adams,2011,0,55,62
Other,Adams,2011,0,0,64
Unknown,Adams,2011,0,0,66
White,Adams,2012,0,27871,70
Black,Adams,2012,0,202,72
American Indian or Alaskan Native,Adams,2012,0,158,74
Asian or Pacific Islander,Adams,2012,0,57,76
Other,Adams,2012,0,0,78
Unknown,Adams,2012,0,0,80
White,Adams,2013,0,27656,84
Black,Adams,2013,0,215,86
American Indian or Alaskan Native,Adams,2013,0,149,88
Asian or Pacific Islander,Adams,2013,0,65,90
Other,Adams,2013,0,0,92
Unknown,Adams,2013,0,0,94
White,Adams,2014,1,27597,98
Black,Adams,2014,0,222,100
American Indian or Alaskan Native,Adams,2014,0,164,102
Asian or Pacific Islander,Adams,2014,0,77,104
Other,Adams,2014,0,0,106
Unknown,Adams,2014,0,0,108
White,Adams,2015,1,27444,112
Black,Adams,2015,0,228,114
American Indian or Alaskan Native,Adams,2015,0,162,116
Asian or Pacific Islander,Adams,2015,0,85,118
Other,Adams,2015,0,0,120
Unknown,Adams,2015,0,0,122
White,Adams,2016,1,27325,126
Black,Adams,2016,0,233,128
American Indian or Alaskan Native,Adams,2016,0,171,130
Asian or Pacific Islander,Adams,2016,0,88,132
Other,Adams,2016,0,0,134
Unknown,Adams,2016,0,0,136
White,Adams,2017,1,27243,140
Black,Adams,2017,0,239,142
American Indian or Alaskan Native,Adams,2017,0,173,144
Asian or Pacific Islander,Adams,2017,0,92,146
Other,Adams,2017,0,0,148
Unknown,Adams,2017,0,0,150
White,Adams,2018,3,27158,154
Black,Adams,2018,0,248,156
American Indian or Alaskan Native,Adams,2018,0,180,158
Asian or Pacific Islander,Adams,2018,0,99,160
Other,Adams,2018,0,0,162
Unknown,Adams,2018,0,0,164
White,Adams,2019,4,27105,168
Black,Adams,2019,0,241,170
American Indian or Alaskan Native,Adams,2019,0,182,172
Asian or Pacific Islander,Adams,2019,0,112,174
Other,Adams,2019,0,0,176
Unknown,Adams,2019,0,0,178
White,Allen,2007,0,91489,196
Black,Allen,2007,0,14062,198
American Indian or Alaskan Native,Allen,2007,0,294,200
Asian or Pacific Islander,Allen,2007,0,872,202
Other,Allen,2007,0,0,204
Unknown,Allen,2007,0,0,206
White,Allen,2008,0,91484,210
Black,Allen,2008,0,14139,212
American Indian or Alaskan Native,Allen,2008,0,286,214
