DeathYearYear,DeathAgeGroupNCHSAgeNCHS,Deaths,Population,SORT
2010,< 1,0,138790,0
2010,1-4,0,579737,4
2010,5-14,0,1519193,8
2010,15-24,0,1588210,12
2010,25-34,4,1412716,16
2010,35-44,1,1473048,20
2010,45-54,3,1736976,24
2010,55-64,2,1464821,28
2010,65-74,0,853036,32
2010,75-84,0,540613,36
2010,85+,0,232309,40
2010,Unk,0,0,44
Total,< 1,0,138790,2
Total,1-4,0,579737,6
Total,5-14,0,1519193,10
Total,15-24,0,1588210,14
Total,25-34,4,1412716,18
Total,35-44,1,1473048,22
Total,45-54,3,1736976,26
Total,55-64,2,1464821,30
Total,65-74,0,853036,34
Total,75-84,0,540613,38
Total,85+,0,232309,42
Total,Unk,0,0,46
