RacePopRaceDesc,AgeGroupNCHSAgeNCHS,PopulationYearYear,CountyPopCountyName,Count,SORT
Black,< 1,1990,Adams,2,0
Black,1-4,1990,Adams,3,1
Black,5-14,1990,Adams,7,2
Black,15-24,1990,Adams,10,3
Black,25-34,1990,Adams,1,4
Black,35-44,1990,Adams,2,5
Black,45-54,1990,Adams,2,6
Black,55-64,1990,Adams,2,7
Black,65-74,1990,Adams,2,8
Black,75-84,1990,Adams,2,9
Black,85+,1990,Adams,0,10
Black,Unk,1990,Adams,0,11
Black,Unknown,1990,Adams,0,12
White,< 1,1990,Adams,329,14
White,1-4,1990,Adams,1487,15
White,5-14,1990,Adams,4138,16
White,15-24,1990,Adams,3740,17
White,25-34,1990,Adams,3702,18
White,35-44,1990,Adams,3478,19
White,45-54,1990,Adams,2685,20
White,55-64,1990,Adams,2316,21
White,65-74,1990,Adams,1964,22
White,75-84,1990,Adams,1098,23
White,85+,1990,Adams,345,24
White,Unk,1990,Adams,0,25
White,Unknown,1990,Adams,0,26
Black,< 1,1990,Allen,278,42
Black,1-4,1990,Allen,947,43
Black,5-14,1990,Allen,2411,44
Black,15-24,1990,Allen,2100,45
Black,25-34,1990,Allen,2304,46
Black,35-44,1990,Allen,1760,47
Black,45-54,1990,Allen,975,48
Black,55-64,1990,Allen,755,49
Black,65-74,1990,Allen,540,50
Black,75-84,1990,Allen,240,51
Black,85+,1990,Allen,51,52
Black,Unk,1990,Allen,0,53
Black,Unknown,1990,Allen,0,54
White,< 1,1990,Allen,1427,56
White,1-4,1990,Allen,5611,57
White,5-14,1990,Allen,14127,58
White,15-24,1990,Allen,13623,59
White,25-34,1990,Allen,15204,60
White,35-44,1990,Allen,14163,61
White,45-54,1990,Allen,9781,62
White,55-64,1990,Allen,8921,63
White,65-74,1990,Allen,7917,64
White,75-84,1990,Allen,4419,65
White,85+,1990,Allen,1533,66
White,Unk,1990,Allen,0,67
White,Unknown,1990,Allen,0,68
Black,< 1,1990,Ashland,15,84
Black,1-4,1990,Ashland,41,85
Black,5-14,1990,Ashland,58,86
Black,15-24,1990,Ashland,185,87
Black,25-34,1990,Ashland,61,88
Black,35-44,1990,Ashland,37,89
Black,45-54,1990,Ashland,13,90
Black,55-64,1990,Ashland,25,91
Black,65-74,1990,Ashland,20,92
Black,75-84,1990,Ashland,2,93
Black,85+,1990,Ashland,6,94
Black,Unk,1990,Ashland,0,95
Black,Unknown,1990,Ashland,0,96
White,< 1,1990,Ashland,616,98
White,1-4,1990,Ashland,2684,99
White,5-14,1990,Ashland,7180,100
White,15-24,1990,Ashland,7106,101
White,25-34,1990,Ashland,6854,102
White,35-44,1990,Ashland,6682,103
White,45-54,1990,Ashland,4952,104
White,55-64,1990,Ashland,4213,105
White,65-74,1990,Ashland,3658,106
White,75-84,1990,Ashland,2152,107
White,85+,1990,Ashland,710,108
White,Unk,1990,Ashland,0,109
White,Unknown,1990,Ashland,0,110
Black,< 1,1990,Ashtabula,77,126
Black,1-4,1990,Ashtabula,260,127
Black,5-14,1990,Ashtabula,619,128
Black,15-24,1990,Ashtabula,464,129
Black,25-34,1990,Ashtabula,477,130
Black,35-44,1990,Ashtabula,407,131
Black,45-54,1990,Ashtabula,230,132
Black,55-64,1990,Ashtabula,287,133
Black,65-74,1990,Ashtabula,210,134
Black,75-84,1990,Ashtabula,84,135
Black,85+,1990,Ashtabula,44,136
Black,Unk,1990,Ashtabula,0,137
Black,Unknown,1990,Ashtabula,0,138
White,< 1,1990,Ashtabula,1420,140
White,1-4,1990,Ashtabula,5548,141
White,5-14,1990,Ashtabula,14477,142
White,15-24,1990,Ashtabula,12805,143
White,25-34,1990,Ashtabula,14368,144
White,35-44,1990,Ashtabula,14231,145
White,45-54,1990,Ashtabula,9969,146
White,55-64,1990,Ashtabula,9189,147
White,65-74,1990,Ashtabula,8285,148
White,75-84,1990,Ashtabula,4647,149
White,85+,1990,Ashtabula,1359,150
White,Unk,1990,Ashtabula,0,151
White,Unknown,1990,Ashtabula,0,152
Black,< 1,1990,Athens,18,168
Black,1-4,1990,Athens,72,169
Black,5-14,1990,Athens,165,170
Black,15-24,1990,Athens,810,171
Black,25-34,1990,Athens,260,172
Black,35-44,1990,Athens,171,173
Black,45-54,1990,Athens,78,174
Black,55-64,1990,Athens,54,175
Black,65-74,1990,Athens,41,176
Black,75-84,1990,Athens,29,177
Black,85+,1990,Athens,5,178
Black,Unk,1990,Athens,0,179
Black,Unknown,1990,Athens,0,180
White,< 1,1990,Athens,598,182
White,1-4,1990,Athens,2388,183
White,5-14,1990,Athens,6655,184
White,15-24,1990,Athens,17966,185
White,25-34,1990,Athens,7630,186
White,35-44,1990,Athens,6914,187
White,45-54,1990,Athens,4596,188
White,55-64,1990,Athens,3778,189
White,65-74,1990,Athens,3265,190
White,75-84,1990,Athens,1861,191
White,85+,1990,Athens,614,192
White,Unk,1990,Athens,0,193
White,Unknown,1990,Athens,0,194
Black,< 1,1990,Auglaize,4,210
Black,1-4,1990,Auglaize,5,211
Black,5-14,1990,Auglaize,12,212
Black,15-24,1990,Auglaize,8,213
Black,25-34,1990,Auglaize,11,214
Black,35-44,1990,Auglaize,8,215
Black,45-54,1990,Auglaize,6,216
Black,55-64,1990,Auglaize,3,217
Black,65-74,1990,Auglaize,0,218
Black,75-84,1990,Auglaize,0,219
Black,85+,1990,Auglaize,1,220
Black,Unk,1990,Auglaize,0,221
Black,Unknown,1990,Auglaize,0,222
White,< 1,1990,Auglaize,666,224
White,1-4,1990,Auglaize,2875,225
White,5-14,1990,Auglaize,7300,226
White,15-24,1990,Auglaize,5863,227
White,25-34,1990,Auglaize,6948,228
White,35-44,1990,Auglaize,6615,229
White,45-54,1990,Auglaize,4229,230
White,55-64,1990,Auglaize,3881,231
White,65-74,1990,Auglaize,3412,232
White,75-84,1990,Auglaize,1943,233
White,85+,1990,Auglaize,688,234
White,Unk,1990,Auglaize,0,235
White,Unknown,1990,Auglaize,0,236
Black,< 1,1990,Belmont,23,252
Black,1-4,1990,Belmont,87,253
Black,5-14,1990,Belmont,210,254
Black,15-24,1990,Belmont,199,255
Black,25-34,1990,Belmont,182,256
Black,35-44,1990,Belmont,171,257
Black,45-54,1990,Belmont,115,258
