CountyPopCountyName,PopulationYearYear,RacePopRaceDesc,AgeGroupNCHSAgeNCHS,Count,SORT
Adams,2010,Black,< 1,7,0
Adams,2010,White,< 1,357,1
Adams,2011,Black,< 1,3,3
Adams,2011,White,< 1,343,4
Adams,2012,Black,< 1,5,6
Adams,2012,White,< 1,319,7
Adams,2013,Black,< 1,7,9
Adams,2013,White,< 1,355,10
Adams,2014,Black,< 1,5,12
Adams,2014,White,< 1,304,13
Adams,2015,Black,< 1,3,15
Adams,2015,White,< 1,295,16
Adams,2016,Black,< 1,6,18
Adams,2016,White,< 1,338,19
Adams,2017,Black,< 1,9,21
Adams,2017,White,< 1,316,22
Adams,2018,Black,< 1,7,24
Adams,2018,White,< 1,363,25
Adams,2019,Black,< 1,7,27
Adams,2019,White,< 1,323,28
Adams,2020,Black,< 1,10,30
Adams,2020,White,< 1,329,31
Allen,2010,Black,< 1,281,36
Allen,2010,White,< 1,1029,37
Allen,2011,Black,< 1,270,39
Allen,2011,White,< 1,1021,40
Allen,2012,Black,< 1,280,42
Allen,2012,White,< 1,919,43
Allen,2013,Black,< 1,283,45
Allen,2013,White,< 1,975,46
Allen,2014,Black,< 1,247,48
Allen,2014,White,< 1,1043,49
Allen,2015,Black,< 1,274,51
Allen,2015,White,< 1,951,52
Allen,2016,Black,< 1,284,54
Allen,2016,White,< 1,968,55
Allen,2017,Black,< 1,290,57
Allen,2017,White,< 1,897,58
Allen,2018,Black,< 1,264,60
Allen,2018,White,< 1,953,61
Allen,2019,Black,< 1,259,63
Allen,2019,White,< 1,956,64
Allen,2020,Black,< 1,237,66
Allen,2020,White,< 1,974,67
Ashland,2010,Black,< 1,12,72
Ashland,2010,White,< 1,625,73
Ashland,2011,Black,< 1,10,75
Ashland,2011,White,< 1,590,76
Ashland,2012,Black,< 1,11,78
Ashland,2012,White,< 1,601,79
Ashland,2013,Black,< 1,13,81
Ashland,2013,White,< 1,609,82
Ashland,2014,Black,< 1,15,84
Ashland,2014,White,< 1,633,85
Ashland,2015,Black,< 1,13,87
Ashland,2015,White,< 1,600,88
Ashland,2016,Black,< 1,13,90
Ashland,2016,White,< 1,551,91
Ashland,2017,Black,< 1,11,93
Ashland,2017,White,< 1,583,94
Ashland,2018,Black,< 1,12,96
Ashland,2018,White,< 1,585,97
Ashland,2019,Black,< 1,16,99
Ashland,2019,White,< 1,573,100
Ashland,2020,Black,< 1,14,102
Ashland,2020,White,< 1,572,103
Ashtabula,2010,Black,< 1,84,108
Ashtabula,2010,White,< 1,1121,109
Ashtabula,2011,Black,< 1,70,111
Ashtabula,2011,White,< 1,1072,112
Ashtabula,2012,Black,< 1,70,114
Ashtabula,2012,White,< 1,1001,115
Ashtabula,2013,Black,< 1,74,117
Ashtabula,2013,White,< 1,1031,118
Ashtabula,2014,Black,< 1,78,120
Ashtabula,2014,White,< 1,978,121
Ashtabula,2015,Black,< 1,65,123
Ashtabula,2015,White,< 1,1032,124
Ashtabula,2016,Black,< 1,80,126
Ashtabula,2016,White,< 1,988,127
Ashtabula,2017,Black,< 1,75,129
Ashtabula,2017,White,< 1,1062,130
Ashtabula,2018,Black,< 1,81,132
Ashtabula,2018,White,< 1,1036,133
Ashtabula,2019,Black,< 1,79,135
Ashtabula,2019,White,< 1,1002,136
Ashtabula,2020,Black,< 1,70,138
Ashtabula,2020,White,< 1,974,139
Athens,2010,Black,< 1,19,144
Athens,2010,White,< 1,498,145
Athens,2011,Black,< 1,21,147
Athens,2011,White,< 1,523,148
Athens,2012,Black,< 1,26,150
Athens,2012,White,< 1,510,151
Athens,2013,Black,< 1,17,153
Athens,2013,White,< 1,501,154
Athens,2014,Black,< 1,20,156
Athens,2014,White,< 1,517,157
Athens,2015,Black,< 1,25,159
Athens,2015,White,< 1,491,160
Athens,2016,Black,< 1,16,162
Athens,2016,White,< 1,472,163
Athens,2017,Black,< 1,19,165
Athens,2017,White,< 1,471,166
Athens,2018,Black,< 1,17,168
Athens,2018,White,< 1,454,169
Athens,2019,Black,< 1,20,171
Athens,2019,White,< 1,429,172
Athens,2020,Black,< 1,30,174
Athens,2020,White,< 1,419,175
Auglaize,2010,Black,< 1,10,180
Auglaize,2010,White,< 1,590,181
Auglaize,2011,Black,< 1,3,183
Auglaize,2011,White,< 1,564,184
Auglaize,2012,Black,< 1,3,186
Auglaize,2012,White,< 1,500,187
Auglaize,2013,Black,< 1,8,189
Auglaize,2013,White,< 1,521,190
Auglaize,2014,Black,< 1,10,192
Auglaize,2014,White,< 1,516,193
Auglaize,2015,Black,< 1,11,195
Auglaize,2015,White,< 1,554,196
Auglaize,2016,Black,< 1,12,198
Auglaize,2016,White,< 1,550,199
Auglaize,2017,Black,< 1,10,201
Auglaize,2017,White,< 1,565,202
Auglaize,2018,Black,< 1,8,204
Auglaize,2018,White,< 1,559,205
Auglaize,2019,Black,< 1,8,207
Auglaize,2019,White,< 1,528,208
Auglaize,2020,Black,< 1,18,210
Auglaize,2020,White,< 1,508,211
Belmont,2010,Black,< 1,44,216
Belmont,2010,White,< 1,696,217
Belmont,2011,Black,< 1,36,219
Belmont,2011,White,< 1,673,220
Belmont,2012,Black,< 1,29,222
Belmont,2012,White,< 1,669,223
Belmont,2013,Black,< 1,33,225
Belmont,2013,White,< 1,689,226
Belmont,2014,Black,< 1,37,228
Belmont,2014,White,< 1,637,229
Belmont,2015,Black,< 1,42,231
Belmont,2015,White,< 1,645,232
Belmont,2016,Black,< 1,35,234
Belmont,2016,White,< 1,581,235
Belmont,2017,Black,< 1,36,237
Belmont,2017,White,< 1,601,238
Belmont,2018,Black,< 1,33,240
Belmont,2018,White,< 1,555,241
Belmont,2019,Black,< 1,32,243
Belmont,2019,White,< 1,608,244
Belmont,2020,Black,< 1,38,246
Belmont,2020,White,< 1,587,247
Brown,2010,Black,< 1,10,252
Brown,2010,White,< 1,531,253
Brown,2011,Black,< 1,10,255
Brown,2011,White,< 1,492,256
Brown,2012,Black,< 1,8,258
Brown,2012,White,< 1,501,259
Brown,2013,Black,< 1,11,261
Brown,2013,White,< 1,485,262
Brown,2014,Black,< 1,11,264
Brown,2014,White,< 1,469,265
Brown,2015,Black,< 1,11,267
Brown,2015,White,< 1,464,268
Brown,2016,Black,< 1,14,270
Brown,2016,White,< 1,465,271
Brown,2017,Black,< 1,10,273
Brown,2017,White,< 1,493,274
Brown,2018,Black,< 1,10,276
Brown,2018,White,< 1,448,277
Brown,2019,Black,< 1,12,279
Brown,2019,White,< 1,485,280
Brown,2020,Black,< 1,10,282
Brown,2020,White,< 1,463,283
Butler,2010,Black,< 1,544,288
Butler,2010,White,< 1,3930,289
Butler,2011,Black,< 1,564,291
Butler,2011,White,< 1,3782,292
Butler,2012,Black,< 1,542,294
Butler,2012,White,< 1,3725,295
Butler,2013,Black,< 1,622,297
Butler,2013,White,< 1,3868,298
Butler,2014,Black,< 1,607,300
Butler,2014,White,< 1,3605,301
Butler,2015,Black,< 1,612,303
Butler,2015,White,< 1,3691,304
Butler,2016,Black,< 1,597,306
Butler,2016,White,< 1,3757,307
Butler,2017,Black,< 1,636,309
Butler,2017,White,< 1,3480,310
Butler,2018,Black,< 1,650,312
Butler,2018,White,< 1,3597,313
Butler,2019,Black,< 1,688,315
Butler,2019,White,< 1,3491,316
Butler,2020,Black,< 1,643,318
Butler,2020,White,< 1,3491,319
Carroll,2010,Black,< 1,8,324
Carroll,2010,White,< 1,296,325
Carroll,2011,Black,< 1,7,327
Carroll,2011,White,< 1,304,328
Carroll,2012,Black,< 1,4,330
Carroll,2012,White,< 1,235,331
