"race","year","class","log_smr","lwr95","upr95"
"White",2010,"cocaine_all",-0.147455712015131,-0.303556131892723,0.00366832327460343
"White",2011,"cocaine_all",0.216203020273854,0.0859965813546576,0.341119185537506
"White",2012,"cocaine_all",0.316552795286238,0.192057068035437,0.434965685157568
"White",2013,"cocaine_all",0.544413206374464,0.433595674804663,0.654633346331186
"White",2014,"cocaine_all",0.86889968105861,0.773514851633019,0.962731975501309
"White",2015,"cocaine_all",1.15291848387248,1.06852945858569,1.23656916326067
"White",2016,"cocaine_all",1.6508412228186,1.58449917801601,1.71486983216976
"White",2017,"cocaine_all",1.95631680647257,1.89825697862194,2.01305956092233
"White",2018,"cocaine_all",1.55697682839722,1.48702917949493,1.62509374354122
"White",2019,"cocaine_all",1.60046060268185,1.53174474430549,1.66915008864502
"White",2020,"cocaine_all",1.60197138005195,1.53159299674202,1.67062262470098
"Black",2010,"cocaine_all",0.900207997467018,0.662880985921736,1.11727339140107
"Black",2011,"cocaine_all",1.14735880772671,0.948567371714184,1.33978397193836
"Black",2012,"cocaine_all",1.21587638556384,1.02085006826791,1.40045904177997
"Black",2013,"cocaine_all",1.40187800638921,1.22243464231191,1.57246208148518
"Black",2014,"cocaine_all",1.42097677443747,1.23892998367691,1.58595391729426
"Black",2015,"cocaine_all",1.72391115117542,1.56440452056553,1.87258681774717
"Black",2016,"cocaine_all",2.14518378590142,2.01890765557059,2.26968033997171
"Black",2017,"cocaine_all",2.510934283645,2.4043849343855,2.61474470611765
"Black",2018,"cocaine_all",2.40510181423187,2.29134409241053,2.51189947232846
"Black",2019,"cocaine_all",2.63745470739514,2.53944646141921,2.73331718983966
"Black",2020,"cocaine_all",2.73692355458445,2.6395081315903,2.83134465876036
"White",2010,"cocaine_no_fent",-0.181679548943829,-0.34777115365895,-0.0269554736854146
"White",2011,"cocaine_no_fent",0.184063006131386,0.0485272672299447,0.313932748088896
"White",2012,"cocaine_no_fent",0.289504392840522,0.162608725459753,0.410475417309555
"White",2013,"cocaine_no_fent",0.518016530518299,0.403449821051823,0.628740092488552
"White",2014,"cocaine_no_fent",0.625999791237147,0.514336780433656,0.729824139021253
"White",2015,"cocaine_no_fent",0.686102008011028,0.577354248476214,0.787630672390353
"White",2016,"cocaine_no_fent",0.796186414816862,0.694311944861923,0.894516112050574
"White",2017,"cocaine_no_fent",0.67500265010371,0.566126218273033,0.78019515288955
"White",2018,"cocaine_no_fent",0.0700832278188142,-0.0746745236562278,0.211240687189459
"White",2019,"cocaine_no_fent",0.0189921954958309,-0.129193133613504,0.159540486338288
"White",2020,"cocaine_no_fent",-0.108694446099586,-0.269788805200454,0.0449003078065588
"Black",2010,"cocaine_no_fent",0.950300330575463,0.716712455535579,1.16416047406113
"Black",2011,"cocaine_no_fent",1.12589623267516,0.927445731356962,1.31850572609443
"Black",2012,"cocaine_no_fent",1.18004011369758,0.983760216018065,1.36752627425235
"Black",2013,"cocaine_no_fent",1.35367653883485,1.17226447568538,1.52989786673473
"Black",2014,"cocaine_no_fent",1.28147314815944,1.08963066151512,1.4578401837367
"Black",2015,"cocaine_no_fent",1.386727241286,1.20819694034407,1.55463167947147
"Black",2016,"cocaine_no_fent",1.45715413249578,1.28509259935995,1.61998816268938
"Black",2017,"cocaine_no_fent",1.56909359774695,1.40564896652923,1.72825558774133
"Black",2018,"cocaine_no_fent",1.37726400646918,1.20091382653377,1.54625732389082
"Black",2019,"cocaine_no_fent",1.33555346005814,1.15632462169425,1.50874773242867
"Black",2020,"cocaine_no_fent",1.32865850183249,1.13446797196413,1.50402837472637
"White",2010,"psychostim_all",0.192728061630811,-0.354587012879175,0.655156500389609
"White",2011,"psychostim_all",0.90645703203428,0.543674380247354,1.26165168941156
"White",2012,"psychostim_all",1.18103637339995,0.844404416334397,1.48303307548974
"White",2013,"psychostim_all",1.64744969020906,1.37657554065496,1.90811676224193
"White",2014,"psychostim_all",1.92271550276038,1.67190187154035,2.15026247681386
"White",2015,"psychostim_all",2.42400903442686,2.22834570339107,2.60743021749688
"White",2016,"psychostim_all",3.25809009527513,3.12837510179301,3.38418316999629
"White",2017,"psychostim_all",4.10896957656017,4.02145822259406,4.19601101762293
"White",2018,"psychostim_all",4.12287657598876,4.03461070688901,4.20743734356541
"White",2019,"psychostim_all",4.53750472815518,4.46695415910108,4.60522338328346
"White",2020,"psychostim_all",4.77742475228452,4.7152404295251,4.84041023479419
"Black",2010,"psychostim_all",-1.28493204772911,-2.63330523288726,-0.0162658934370216
"Black",2011,"psychostim_all",-0.752640447048368,-1.94900811737296,0.312429496316946
"Black",2012,"psychostim_all",-0.406077980450165,-1.63816597648572,0.500327849092634
"Black",2013,"psychostim_all",0.344497754845268,-0.538184674282171,1.18497842096104
"Black",2014,"psychostim_all",0.602546393196046,-0.358554787893719,1.28948507872336
"Black",2015,"psychostim_all",1.17533845398877,0.400501884718514,1.75111385709396
"Black",2016,"psychostim_all",1.97053593503653,1.47179560470392,2.44396184063945
"Black",2017,"psychostim_all",2.36626264940601,1.89661214466136,2.76000759509985
"Black",2018,"psychostim_all",3.20023699826905,2.88963986829828,3.49464716837573
"Black",2019,"psychostim_all",3.42083102508265,3.12545620415455,3.68210008742264
"Black",2020,"psychostim_all",4.03343390648844,3.81401659806187,4.24037665639204
"White",2010,"psychostim_no_fent",0.332022399120054,-0.192160945997093,0.772876442372033
"White",2011,"psychostim_no_fent",0.895790258752321,0.532505207890345,1.24092784062097
"White",2012,"psychostim_no_fent",1.14848706002365,0.818508662451786,1.45066234967304
"White",2013,"psychostim_no_fent",1.59617174802452,1.32707914932408,1.86443245831792
"White",2014,"psychostim_no_fent",1.70023938403023,1.43054157628776,1.93838423851735
"White",2015,"psychostim_no_fent",1.9908134728982,1.75119451359461,2.20459624915908
"White",2016,"psychostim_no_fent",2.54775960246217,2.36754820457042,2.72182162684897
"White",2017,"psychostim_no_fent",2.95261569644945,2.80267603097143,3.09703421734301
"White",2018,"psychostim_no_fent",3.01126254107878,2.86607031484496,3.15439745773121
"White",2019,"psychostim_no_fent",3.20848444519223,3.07406902673473,3.3372811424354
"White",2020,"psychostim_no_fent",3.2000352985428,3.05953466771373,3.33321173929677
"Black",2010,"psychostim_no_fent",-1.01133385054306,-2.45729883784952,0.267706929318001
"Black",2011,"psychostim_no_fent",-0.635868231802746,-1.93575523239533,0.463966319580541
"Black",2012,"psychostim_no_fent",-0.473784139527219,-1.86328335735396,0.503397465376808
"Black",2013,"psychostim_no_fent",0.197030829468389,-0.730977187300655,1.12663564964962
"Black",2014,"psychostim_no_fent",0.263409466714585,-0.7845092942904,1.03120410126242
"Black",2015,"psychostim_no_fent",0.656041296246473,-0.19966515738119,1.34298467795126
"Black",2016,"psychostim_no_fent",1.16608149573848,0.491285769071194,1.80540420459884
"Black",2017,"psychostim_no_fent",1.25585295470534,0.425619111959517,1.83435033848585
"Black",2018,"psychostim_no_fent",2.01596830372199,1.51129412334634,2.4987099850457
"Black",2019,"psychostim_no_fent",2.25896885221043,1.77388915021573,2.68403657180666
"Black",2020,"psychostim_no_fent",2.63170572226486,2.19787096616479,3.01555459292125
