"race","year","cocaine_all_rate","cocaine_no_fent_rate","psychostim_all_rate","psychostim_no_fent_rate","fentanyl_rate"
"White",2010,1.54,1.46,0.09,0.09,0.76
"White",2011,2.26,2.18,0.25,0.24,0.67
"White",2012,2.43,2.37,0.28,0.27,0.68
"White",2013,3.04,2.98,0.46,0.46,0.81
"White",2014,4.19,3.29,0.58,0.46,4.73
"White",2015,5.52,3.47,0.96,0.62,10.6
"White",2016,9.07,3.87,2.27,1.13,21.66
"White",2017,12.27,3.43,5.34,1.7,30.7
"White",2018,8.09,1.8,5.31,1.76,23.96
"White",2019,8.43,1.74,8.02,2.14,26.27
"Black",2010,4.1,4.1,0.07,0.07,0.2
"Black",2011,5.38,5.18,0.07,0.07,0.52
"Black",2012,5.47,5.28,0,0,0.59
"Black",2013,6.7,6.57,0.19,0.19,0.32
"Black",2014,6.44,5.74,0.06,0.06,2.42
"Black",2015,8.96,6.56,0.19,0.13,7.13
"Black",2016,13.94,7,0.69,0.31,15
"Black",2017,20.35,8.1,0.87,0.19,25.24
"Black",2018,17.69,6.31,2.26,0.73,22.77
"Black",2019,22.63,6.07,2.55,0.85,30.33
